timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730966008285,200,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-18,,true,,3826,681,18,23,null,0,1566,0
1730966009851,200,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-18,text,true,,3826,681,18,23,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,200,0,0
1730966010051,0,Select Item - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-18,,true,,0,0,18,23,null,0,0,0
1730966006420,185,Select Category - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-20,,true,,3928,649,17,22,null,0,3473,0
1730966009893,185,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-20,text,true,,3928,649,17,22,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,185,0,0
1730966010079,0,Select Product - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-20,,true,,0,0,17,22,null,0,0,0
1730966008305,192,Select Category - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-16,,true,,3928,649,16,21,null,0,1593,0
1730966009898,192,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-16,text,true,,3928,649,16,21,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,192,0,0
1730966010090,0,Select Product - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-16,,true,,0,0,16,21,null,0,0,0
1730966008539,147,Select Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-1,,true,,8825,667,4,20,null,0,1583,97
1730966010122,147,Select Item-17,200,OK,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-1,bin,true,,8825,667,4,20,https://img-getpocket.cdn.mozilla.net/404x202/filters:format(jpeg):quality(60):no_upscale():strip_exif()/https%3A%2F%2Fimages.theconversation.com%2Ffiles%2F629780%2Foriginal%2Ffile-20241104-15-scgl6e.jpg%3Fixlib%3Drb-4.1.0%26rect%3D476%252C107%252C5434%252C2712%26q%3D45%26auto%3Dformat%26w%3D1356%26h%3D668%26fit%3Dcrop,145,0,97
1730966009583,788,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-7,,true,,4973,597,15,20,null,0,1,595
1730966009584,788,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-7,text,true,,4973,597,15,20,https://petstore.octoperf.com/actions/Catalog.action,788,0,595
1730966008313,197,Select Category - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-12,,true,,3928,649,15,20,null,0,1906,0
1730966010219,197,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-12,text,true,,3928,649,15,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,197,0,0
1730966010416,0,Select Product - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-12,,true,,0,0,15,20,null,0,0,0
1730966008487,196,Select Category - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-14,,true,,3928,649,14,19,null,0,1737,0
1730966010223,196,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-14,text,true,,3928,649,14,19,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,196,0,0
1730966010420,0,Select Product - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-14,,true,,0,0,14,19,null,0,0,0
1730966009702,775,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-4,,true,,4973,597,13,18,null,0,0,583
1730966009702,775,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-4,text,true,,4973,597,13,18,https://petstore.octoperf.com/actions/Catalog.action,775,0,583
1730966007863,194,Select Category - 3,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-3,,true,,4408,649,4,18,null,0,2627,0
1730966010490,194,Select Category - 3-31,200,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-3,text,true,,4408,649,4,18,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,194,0,0
1730966009994,769,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-5,,true,,4973,597,13,18,null,0,1,579
1730966009995,769,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-5,text,true,,4973,597,13,18,https://petstore.octoperf.com/actions/Catalog.action,769,0,579
1730966009333,209,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-1,,true,,3795,674,13,18,null,0,1330,0
1730966010663,209,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-1,text,true,,3795,674,13,18,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-5,209,0,0
1730966008899,191,Select Category - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-15,,true,,3928,649,13,18,null,0,1782,0
1730966010681,191,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-15,text,true,,3928,649,13,18,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,191,0,0
1730966010872,0,Select Product - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-15,,true,,0,0,13,18,null,0,0,0
1730966007370,3504,Select Category - 2,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-17,,true,,3928,649,12,17,null,0,0,0
1730966010695,179,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-17,text,true,,3928,649,12,17,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,179,0,0
1730966008582,197,Select Item - 3,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-5,,true,,4009,675,4,16,null,0,2161,0
1730966010743,197,Select Item - 3-33,200,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-5,text,true,,4009,675,4,16,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-28,197,0,0
1730966010940,0,Add to Cart - 3,,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-5,,true,,0,0,4,16,null,0,0,0
1730966009587,210,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-3,,true,,3805,675,11,15,null,0,1330,0
1730966010916,210,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-3,text,true,,3805,675,11,15,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-20,210,0,0
1730966009101,191,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-2,,true,,3795,674,11,15,null,0,1888,0
1730966010989,191,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-2,text,true,,3795,674,11,15,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-5,191,0,0
1730966009044,191,Select Category - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-13,,true,,3928,649,11,15,null,0,1948,0
1730966010992,191,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-13,text,true,,3928,649,11,15,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,191,0,0
1730966011183,0,Select Product - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-13,,true,,0,0,11,15,null,0,0,0
1730966008688,209,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-9,,true,,3815,674,10,14,null,0,2440,0
1730966011128,209,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-9,text,true,,3815,674,10,14,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-3,208,0,0
1730966009511,200,Select Product - 3,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-2,,true,,4039,681,3,14,null,0,1729,0
1730966011240,200,Select Product - 3-32,200,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-2,text,true,,4039,681,3,14,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-RT-01,200,0,0
